Name,Neanderthal+
Startdatum,07.04.16
Enddatum,06.10.16

Datum,App-Einheiten
07.04.16,0.0
08.04.16,2.0
09.04.16,3.0
10.04.16,7.0
11.04.16,2.0
12.04.16,3.0
13.04.16,1.0
14.04.16,1.0
15.04.16,2.0
16.04.16,5.0
17.04.16,5.0
18.04.16,1.0
19.04.16,2.0
20.04.16,3.0
21.04.16,1.0
22.04.16,1.0
23.04.16,7.0
24.04.16,9.0
25.04.16,18.0
26.04.16,9.0
27.04.16,4.0
28.04.16,4.0
29.04.16,5.0
30.04.16,3.0
01.05.16,5.0
02.05.16,1.0
03.05.16,0.0
04.05.16,0.0
05.05.16,2.0
06.05.16,6.0
07.05.16,1.0
08.05.16,2.0
09.05.16,1.0
10.05.16,2.0
11.05.16,0.0
12.05.16,1.0
13.05.16,2.0
14.05.16,9.0
15.05.16,6.0
16.05.16,8.0
17.05.16,3.0
18.05.16,2.0
19.05.16,3.0
20.05.16,1.0
21.05.16,2.0
22.05.16,6.0
23.05.16,1.0
24.05.16,3.0
25.05.16,4.0
26.05.16,8.0
27.05.16,1.0
28.05.16,6.0
29.05.16,2.0
30.05.16,1.0
31.05.16,5.0
01.06.16,3.0
02.06.16,3.0
03.06.16,0.0
04.06.16,4.0
05.06.16,9.0
06.06.16,3.0
07.06.16,4.0
08.06.16,4.0
09.06.16,4.0
10.06.16,0.0
11.06.16,7.0
12.06.16,6.0
13.06.16,2.0
14.06.16,2.0
15.06.16,2.0
16.06.16,2.0
17.06.16,2.0
18.06.16,16.0
19.06.16,6.0
20.06.16,0.0
21.06.16,0.0
22.06.16,1.0
23.06.16,1.0
24.06.16,0.0
25.06.16,3.0
26.06.16,1.0
27.06.16,0.0
28.06.16,0.0
29.06.16,2.0
30.06.16,1.0
01.07.16,2.0
02.07.16,2.0
03.07.16,4.0
04.07.16,2.0
05.07.16,4.0
06.07.16,2.0
07.07.16,0.0
08.07.16,0.0
09.07.16,3.0
10.07.16,2.0
11.07.16,1.0
12.07.16,2.0
13.07.16,5.0
14.07.16,2.0
15.07.16,3.0
16.07.16,5.0
17.07.16,4.0
18.07.16,0.0
19.07.16,2.0
20.07.16,3.0
21.07.16,1.0
22.07.16,5.0
23.07.16,2.0
24.07.16,7.0
25.07.16,1.0
26.07.16,2.0
27.07.16,4.0
28.07.16,1.0
29.07.16,4.0
30.07.16,5.0
31.07.16,3.0
01.08.16,1.0
02.08.16,4.0
03.08.16,5.0
04.08.16,5.0
05.08.16,2.0
06.08.16,12.0
07.08.16,7.0
08.08.16,2.0
09.08.16,7.0
10.08.16,11.0
11.08.16,4.0
12.08.16,6.0
13.08.16,4.0
14.08.16,5.0
15.08.16,2.0
16.08.16,2.0
17.08.16,1.0
18.08.16,9.0
19.08.16,3.0
20.08.16,3.0
21.08.16,12.0
22.08.16,1.0
23.08.16,3.0
24.08.16,0.0
25.08.16,1.0
26.08.16,1.0
27.08.16,4.0
28.08.16,4.0
29.08.16,2.0
30.08.16,1.0
31.08.16,1.0
01.09.16,1.0
02.09.16,1.0
03.09.16,3.0
04.09.16,3.0
05.09.16,0.0
06.09.16,1.0
07.09.16,2.0
08.09.16,2.0
09.09.16,2.0
10.09.16,7.0
11.09.16,3.0
12.09.16,1.0
13.09.16,3.0
14.09.16,0.0
15.09.16,1.0
16.09.16,3.0
17.09.16,3.0
18.09.16,1.0
19.09.16,2.0
20.09.16,0.0
21.09.16,2.0
22.09.16,3.0
23.09.16,3.0
24.09.16,2.0
25.09.16,4.0
26.09.16,1.0
27.09.16,1.0
28.09.16,1.0
29.09.16,0.0
30.09.16,1.0
01.10.16,4.0
02.10.16,12.0
03.10.16,16.0
04.10.16,4.0
05.10.16,3.0
06.10.16,0.0
